flagType,severity,salienceLevel,actionType
LOSS_OF_CONSCIOUSNESS,CRITICAL,10000,IMMEDIATE_TRANSPORT
SEIZURE,CRITICAL,10000,IMMEDIATE_TRANSPORT
DETERIORATING_CONSCIOUSNESS,CRITICAL,10000,IMMEDIATE_TRANSPORT
WEAKNESS_IN_LIMBS,CRITICAL,9000,IMMEDIATE_TRANSPORT
VISIBLE_SKULL_DEFORMITY,CRITICAL,10000,IMMEDIATE_TRANSPORT
SEVERE_HEADACHE,HIGH,8000,URGENT_MEDICAL_EVAL
REPEATED_VOMITING,HIGH,8000,URGENT_MEDICAL_EVAL
DOUBLE_VISION,HIGH,7000,URGENT_MEDICAL_EVAL
NECK_PAIN,MEDIUM,6000,MEDICAL_EVAL_24H
AGITATION,MEDIUM,6000,MEDICAL_EVAL_24H
